trd_date,total_volume,total_call_volume,total_put_volume,itm_call_volume,atm_call_volume,otm_call_volume,itm_put_volume,atm_put_volume,otm_put_volume,itm_call_ratio,atm_call_ratio,otm_call_ratio,itm_put_ratio,atm_put_ratio,otm_put_ratio,call_share,put_share,call_put_ratio
2010-01-04,56945.0,43337.0,13608.0,8465.0,0.0,34872.0,5725.0,0.0,7883.0,0.1486522082711388,0.0,0.6123803670208096,0.10053560453068751,0.0,0.13843182017736413,0.7610325752919483,0.23896742470805163,3.1846707818930042
2010-01-05,75351.0,60411.0,14940.0,20904.0,25.0,39482.0,2983.0,5.0,11952.0,0.27742166660031053,0.0003317806001247495,0.5239744661650144,0.039588061206885114,6.63561200249499e-05,0.15861766930764024,0.8017279133654497,0.19827208663455032,4.043574297188755
2010-01-06,68024.0,53457.0,14567.0,11316.0,160.0,41981.0,3985.0,11.0,10571.0,0.16635305186404797,0.002352111019640127,0.6171498294719511,0.058582265082911915,0.00016170763260025875,0.15540103492884863,0.7858549923556392,0.2141450076443608,3.6697329580558797
2010-01-07,66940.0,52940.0,14000.0,14986.0,0.0,37954.0,2737.0,0.0,11263.0,0.2238721242904093,0.0,0.566985360023902,0.040887361816552135,0.0,0.16825515386913653,0.7908574843143114,0.20914251568568867,3.7814285714285716
2010-01-08,65633.0,51093.0,14540.0,11227.0,0.0,39866.0,3288.0,0.0,11252.0,0.17105724254567062,0.0,0.6074078588514924,0.050096750110462725,0.0,0.17143814849237426,0.778465101397163,0.22153489860283698,3.513961485557084
2010-01-11,63364.0,49391.0,13973.0,11168.0,0.0,38223.0,3724.0,0.0,10249.0,0.17625149927403572,0.0,0.6032289628180039,0.05877154220061865,0.0,0.16174799570734172,0.7794804620920397,0.22051953790796036,3.5347455807629
2010-01-12,83416.0,63909.0,19507.0,9680.0,82.0,54147.0,6012.0,11.0,13484.0,0.1160448834755922,0.0009830248393593556,0.6491200728876954,0.07207250407595665,0.00013186918576771844,0.16164764553562866,0.7661479812026469,0.23385201879735304,3.2762085405239145
2010-01-13,75514.0,57861.0,17653.0,16378.0,2.0,41481.0,2937.0,0.0,14716.0,0.21688693487300367,2.648515507058294e-05,0.5493153587414255,0.038893450221151045,0.0,0.19487777100934925,0.7662287787694997,0.23377122123050031,3.277686512207557
2010-01-14,73367.0,57382.0,15985.0,18278.0,0.0,39104.0,2703.0,0.0,13282.0,0.2491310807311189,0.0,0.5329916720051249,0.036842177000558834,0.0,0.18103507026319735,0.7821227527362438,0.21787724726375618,3.5897403816077573
2010-01-15,67674.0,54046.0,13628.0,13224.0,170.0,40652.0,3012.0,59.0,10557.0,0.1954073942725419,0.0025120430298194284,0.6007033720483494,0.044507491798918344,0.0008718266985843899,0.1559978721517865,0.7986228093507107,0.20137719064928924,3.9658056941590845
